URN,UKPRN,TypeOfEstablishment (name)
125492,,Local authority nursery school
125493,,Other independent special school
125494,,Pupil referral unit
125495,10018166,Other independent special school
125496,,Pupil referral unit
125497,10017366,Pupil referral unit
125498,,Pupil referral unit
125499,,Pupil referral unit
125500,10078078,Community school
125501,,Community school
125502,,Community school
125503,,Community school
125504,,Community school
125505,,Community school
125506,,Community school
125507,10071189,Community school
125508,,Community school
125509,,Community school
125510,10073872,Community school
125511,10073871,Community school
125512,10075087,Community school
125513,10072753,Community school
125514,,Community school
125515,10071188,Community school
125516,,Community school
125517,,Community school
125518,,Community school
125519,10078077,Community school
125520,,Foundation school
125521,10071187,Community school
125522,,Community school
125523,,Community school
125524,,Community school
125525,10071186,Community school
125526,10071185,Community school
125527,10072752,Community school
125528,10078076,Community school
125529,,Community school
125530,10078075,Community school
125531,,Community school
125532,,Community school
125533,,Community school
125534,,Community school
125535,,Community school
125536,,Community school
125537,10072751,Community school
125538,,Community school
125539,10072750,Community school
125540,,Community school
125541,,Community school
125542,,Community school
125543,10069186,Community school
125544,,Community school
125545,10072749,Community school
125546,,Community school
125547,,Community school
125548,,Community school
125549,,Community school
125550,10072748,Community school
125551,10071184,Community school
125552,10075086,Community school
125553,,Community school
125554,10077188,Community school
125555,,Community school
125556,10075085,Community school
125557,,Community school
125558,,Community school
125559,10071183,Community school
125560,10071182,Community school
125561,10071181,Community school
125562,10072747,Community school
125563,10072746,Community school
125564,,Community school
125565,10071180,Community school
125566,10072745,Community school
125567,,Community school
125568,,Community school
125569,,Community school
125570,10078074,Community school
125571,,Community school
125572,,Community school
125573,10071986,Community school
125574,,Community school
125575,10078073,Community school
125576,10078072,Community school
125577,,Community school
125578,,Community school
125579,10080418,Community school
125580,10075084,Community school
125581,10071985,Community school
125582,,Community school
125583,10071179,Community school
125584,10071984,Community school
125585,10075083,Community school
125586,,Community school
125587,,Community school
125588,,Community school
125589,,Community school
125590,,Community school
125591,10075082,Community school
125592,,Community school
125593,,Community school
125594,,Community school
125595,10071983,Community school
125596,,Community school
125597,,Community school
125598,10075081,Community school
125599,,Community school
125600,,Community school
125601,,Community school
125602,,Community school
125603,10071982,Community school
125604,,Community school
125605,10075080,Community school
125606,,Community school
125607,10069185,Community school
125608,,Community school
125609,10071178,Community school
125610,10071177,Community school
125611,,Community school
125612,,Community school
125613,10071176,Community school
125614,,Community school
125615,,Community school
125616,10071981,Community school
125617,,Community school
125618,10071980,Community school
125619,,Community school
125620,10071175,Community school
125621,,Community school
125622,,Voluntary controlled school
125623,10075803,Voluntary controlled school
125624,,Voluntary controlled school
125625,10076727,Voluntary controlled school
125626,10076726,Voluntary controlled school
125627,,Voluntary controlled school
125628,,Voluntary controlled school
125629,,Voluntary controlled school
125630,,Voluntary controlled school
125631,10076725,Voluntary controlled school
125632,,Voluntary controlled school
125633,,Voluntary controlled school
125634,,Voluntary controlled school
125635,10076724,Voluntary controlled school
125636,10076723,Voluntary controlled school
125637,10076284,Voluntary controlled school
125638,,Voluntary controlled school
125639,10076722,Voluntary controlled school
125640,10076721,Voluntary controlled school
125641,,Voluntary controlled school
125642,,Voluntary controlled school
125643,,Voluntary controlled school
125644,,Voluntary controlled school
125645,,Voluntary controlled school
125646,10075802,Voluntary controlled school
125647,,Voluntary controlled school
125648,,Voluntary controlled school
125649,10076720,Voluntary controlled school
125650,,Voluntary controlled school
125651,10069861,Voluntary controlled school
125652,10076719,Voluntary controlled school
125653,10079326,Voluntary controlled school
125654,10079618,Voluntary controlled school
125655,,Voluntary controlled school
125656,10079325,Voluntary controlled school
125657,10075801,Voluntary controlled school
125658,,Voluntary controlled school
125659,,Voluntary controlled school
125660,10076718,Voluntary controlled school
125661,10076717,Voluntary controlled school
125662,10076283,Voluntary controlled school
125663,,Voluntary controlled school
125664,,Voluntary controlled school
125665,10076716,Voluntary controlled school
125666,10076282,Voluntary controlled school
125667,10076281,Voluntary controlled school
125668,,Voluntary controlled school
125669,,Voluntary controlled school
125670,10076715,Voluntary controlled school
125671,,Voluntary controlled school
125672,,Voluntary controlled school
125673,,Voluntary controlled school
125674,,Voluntary controlled school
125675,,Voluntary controlled school
125676,10079324,Voluntary controlled school
125677,10076714,Voluntary controlled school
125678,,Voluntary controlled school
125679,,Voluntary controlled school
125680,,Voluntary controlled school
125681,10076713,Voluntary controlled school
125682,10076280,Voluntary controlled school
125683,,Voluntary controlled school
125684,10076712,Voluntary controlled school
125685,,Voluntary controlled school
125686,,Voluntary controlled school
125687,10075513,Voluntary controlled school
125688,10068733,Voluntary aided school
125689,10075512,Voluntary aided school
125690,,Voluntary aided school
125691,,Voluntary aided school
125692,10075511,Voluntary aided school
125693,10069608,Foundation school
125694,,Voluntary aided school
125695,,Voluntary aided school
125696,10076279,Voluntary aided school
125697,,Voluntary aided school
125698,,Voluntary aided school
125699,,Voluntary aided school
125700,,Voluntary aided school
125701,10079323,Voluntary aided school
125702,,Voluntary aided school
125703,10076278,Voluntary aided school
125704,,Voluntary aided school
125705,,Voluntary aided school
125706,,Voluntary aided school
125707,10070154,Voluntary aided school
125708,10076052,Voluntary aided school
125709,,Voluntary aided school
125710,10076051,Voluntary aided school
125711,,Voluntary aided school
125712,,Voluntary aided school
125713,10076050,Voluntary aided school
125714,10076049,Voluntary aided school
125715,10076048,Voluntary aided school
125716,10076047,Voluntary aided school
125717,10076046,Voluntary aided school
125718,10076045,Voluntary aided school
125719,10076044,Voluntary aided school
125720,,Voluntary aided school
125721,10076043,Voluntary aided school
125722,,Voluntary aided school
125723,,Voluntary aided school
125724,10076042,Voluntary aided school
125725,,Voluntary aided school
125726,,Voluntary aided school
125727,10081452,Voluntary aided school
125728,,Voluntary aided school
125729,10075510,Voluntary aided school
125730,10006370,Community school
125731,10015640,Community school
125732,10004635,Community school
125733,10015898,Community school
125734,10003612,Community school
125735,10016191,Community school
125736,10005138,Community school
125737,10017533,Community school
125738,10006017,Community school
125739,10006371,Community school
125740,10014820,Community school
125741,10015855,Community school
125742,10016867,Community school
125743,10015344,Community school
125744,10000477,Community school
125745,10001131,Community school
125746,10006639,Community school
125747,10007953,Foundation school
125748,10004693,Community school
125749,10015006,Community school
125750,10015019,Community school
125751,10000404,Community school
125752,10003630,Voluntary aided school
125753,10003794,Voluntary aided school
125754,10015015,Voluntary aided school
125755,10017538,Voluntary aided school
125756,10006838,Voluntary aided school
125757,10015517,Voluntary aided school
125758,10017206,Voluntary aided school
125759,10044248,Foundation school
125760,10069607,Foundation school
125761,10073714,Foundation school
125762,10075509,Voluntary aided school
125763,10078301,Foundation school
125764,10017704,Foundation school
125765,10017124,Foundation school
125766,10015553,Foundation school
125767,10004483,Foundation school
125768,10005324,Foundation school
125769,10005573,Foundation school
125770,10000196,Foundation school
125771,10017651,Foundation school
125772,10071086,Other independent school
125773,10015043,Other independent school
125774,10018816,Other independent school
125775,10008322,Other independent school
125776,,Other independent school
125777,10005574,Other independent school
125778,10071085,Other independent school
125779,,Other independent school
125780,10080496,Other independent school
125781,10008695,Other independent school
125782,,Other independent school
125783,,Other independent school
125784,10073495,Other independent school
125785,,Other independent school
125786,,Other independent school
125787,10017473,Other independent school
125788,10008318,Other independent school
125789,10073494,Other independent school
125790,10016163,Other independent special school
125791,10071084,Other independent school
125792,,Other independent school
125793,,Other independent school
125794,10014867,Community special school
125795,10017446,Community special school
125796,,Community special school
125797,,Community special school
125798,,Community special school
125799,,Community special school
125800,,Community special school
125801,10015250,Community special school
125802,,Community special school
125803,,Community special school
125804,,Community special school
125805,10016247,Community special school
125806,10016242,Community special school
125807,,Local authority nursery school
125808,,Local authority nursery school
125809,,Local authority nursery school
125810,,Local authority nursery school
125811,,Pupil referral unit
125812,10016491,Pupil referral unit
125813,10016432,Pupil referral unit
125814,10017275,Other independent special school
125815,,Pupil referral unit
125816,10071174,Community school
125817,,Community school
125818,,Community school
125819,10071173,Community school
125820,10071172,Community school
125821,10071171,Community school
125822,10071979,Community school
125823,,Community school
125824,,Community school
125825,10071170,Community school
125826,10073870,Community school
125827,,Community school
125828,,Community school
125829,10073869,Community school
125830,10071169,Community school
125831,10071978,Community school
125832,10071168,Community school
125833,,Community school
125834,,Community school
125835,10071977,Community school
125836,10075079,Community school
125837,10071976,Community school
125838,10071167,Community school
125839,,Community school
125840,,Community school
125841,10071166,Community school
125842,,Community school
125843,,Community school
125844,,Community school
125845,10071165,Community school
125846,10073868,Community school
125847,10071164,Community school
125848,10071163,Community school
125849,10073867,Community school
125850,10071162,Community school
125851,,Community school
125852,,Community school
125853,10073866,Community school
125854,10071161,Community school
125855,,Community school
125856,10071160,Community school
125857,10073865,Community school
125858,10071159,Community school
125859,10073864,Community school
125860,10079786,Community school
125861,10079785,Community school
125862,10071975,Community school
125863,10079784,Community school
125864,10080417,Community school
125865,10079783,Community school
125866,10035911,Community school
125867,,Community school
125868,10079782,Community school
125869,,Community school
125870,,Community school
125871,,Community school
125872,,Community school
125873,10079781,Community school
125874,10073863,Community school
125875,10071974,Community school
125876,,Community school
125877,,Community school
125878,10075078,Community school
125879,,Community school
125880,10079780,Community school
125881,,Community school
125882,,Community school
125883,10073862,Community school
125884,,Community school
125885,10079779,Community school
125886,,Community school
125887,10079778,Community school
125888,,Community school
125889,,Community school
125890,,Community school
125891,,Community school
125892,,Community school
125893,,Community school
125894,,Community school
125895,,Community school
125896,,Community school
125897,,Community school
125898,,Community school
125899,,Community school
125900,,Community school
125901,10077187,Community school
125902,,Community school
125903,,Community school
125904,,Community school
125905,10075077,Community school
125906,,Community school
125907,,Community school
125908,,Community school
125909,,Community school
125910,,Community school
125911,,Community school
125912,,Community school
125913,10079777,Community school
125914,10079776,Community school
125915,,Community school
125916,10079775,Community school
125917,,Community school
125918,10079774,Community school
125919,10071973,Community school
125920,,Community school
125921,10069184,Community school
125922,10073861,Community school
125923,,Community school
125924,,Community school
125925,,Community school
125926,,Community school
125927,10079773,Community school
125928,10071972,Community school
125929,10079772,Community school
125930,10079771,Community school
125931,10069183,Community school
125932,10079770,Community school
125933,10071971,Community school
125934,,Community school
125935,,Community school
125936,10073860,Community school
125937,,Community school
125938,,Community school
125939,10075076,Community school
125940,10071970,Community school
125941,10075075,Community school
125942,,Community school
125943,10071969,Community school
125944,10079769,Community school
125945,10079768,Community school
125946,,Community school
125947,,Community school
125948,,Community school
125949,10079767,Community school
125950,10079766,Community school
125951,,Community school
125952,10069182,Community school
125953,,Community school
125954,10071968,Community school
125955,10075074,Community school
125956,,Community school
125957,,Community school
125958,10079765,Community school
125959,10079764,Community school
125960,10080416,Community school
125961,10075073,Community school
125962,10071967,Community school
125963,10079763,Community school
125964,10079762,Community school
125965,10079761,Community school
125966,,Community school
125967,10071966,Community school
125968,10079760,Community school
125969,,Community school
125970,10076277,Voluntary controlled school
125971,10076276,Voluntary controlled school
125972,10075508,Voluntary controlled school
125973,10075507,Voluntary controlled school
125974,10076275,Voluntary controlled school
125975,10079617,Voluntary controlled school
125976,10075506,Voluntary controlled school
125977,10075505,Voluntary controlled school
125978,10075504,Voluntary controlled school
125979,10075503,Voluntary controlled school
125980,10076274,Voluntary controlled school
125981,10075502,Voluntary controlled school
125982,10075501,Voluntary controlled school
125983,10075500,Voluntary controlled school
125984,10074295,Voluntary controlled school
125985,10076273,Voluntary controlled school
125986,10075499,Voluntary controlled school
125987,10075498,Voluntary controlled school
125988,10075497,Voluntary controlled school
125989,10075496,Voluntary controlled school
125990,10075495,Voluntary controlled school
125991,10075494,Voluntary controlled school
125992,10075493,Voluntary controlled school
125993,10075492,Voluntary controlled school
125994,10075491,Voluntary controlled school
125995,10075490,Voluntary controlled school
125996,10074294,Voluntary controlled school
125997,10075489,Voluntary controlled school
125998,10075488,Voluntary controlled school
125999,10076272,Voluntary controlled school
126000,10075487,Voluntary controlled school
126001,10075486,Voluntary controlled school
126002,10078095,Voluntary controlled school
126003,10075485,Voluntary controlled school
126004,10075484,Voluntary controlled school
126005,10075483,Voluntary controlled school
126006,10075482,Voluntary controlled school
126007,10075481,Voluntary controlled school
126008,,Voluntary controlled school
126009,10075480,Voluntary controlled school
126010,10075479,Voluntary controlled school
126011,10075478,Voluntary controlled school
126012,10076271,Voluntary controlled school
126013,10076270,Voluntary controlled school
126014,10075477,Voluntary controlled school
126015,10075476,Voluntary controlled school
126016,10074293,Voluntary controlled school
126017,10075475,Voluntary controlled school
126018,10075474,Voluntary aided school
126019,10075473,Voluntary aided school
126020,10075472,Voluntary aided school
126021,10076269,Voluntary aided school
126022,10075471,Voluntary aided school
126023,,Voluntary aided school
126024,10076268,Voluntary aided school
126025,10075470,Voluntary aided school
126026,10076267,Voluntary aided school
126027,10075469,Voluntary aided school
126028,10075468,Voluntary aided school
126029,10075467,Voluntary aided school
126030,10075466,Voluntary aided school
126031,10075465,Voluntary aided school
126032,,Voluntary aided school
126033,10075464,Voluntary aided school
126034,10075463,Voluntary aided school
126035,10076041,Voluntary aided school
126036,10076040,Voluntary aided school
126037,10076039,Voluntary aided school
126038,10076038,Voluntary aided school
126039,10076037,Voluntary aided school
126040,10076036,Voluntary aided school
126041,10075800,Voluntary aided school
126042,10062998,Voluntary aided school
126043,10074292,Voluntary aided school
126044,10076035,Voluntary aided school
126045,10074291,Voluntary aided school
126046,10076034,Voluntary aided school
126047,10075462,Voluntary aided school
126048,10075461,Voluntary aided school
126049,10075460,Voluntary aided school
126050,10079616,Voluntary aided school
126051,10076033,Voluntary aided school
126052,10079615,Voluntary aided school
126053,10076032,Voluntary aided school
126054,10075459,Voluntary aided school
126055,10075458,Voluntary aided school
126056,10075457,Voluntary aided school
126057,10075456,Voluntary aided school
126058,,Voluntary aided school
126059,10076031,Voluntary aided school
126060,10076030,Voluntary aided school
126061,10076029,Voluntary aided school
126062,10001383,Community school
126063,10001384,Community school
126064,10017297,Community school
126065,10007930,Community school
126066,10016537,Community school
126067,10018826,Community school
126068,10006852,Community school
126069,10015204,Foundation school
126070,10002954,Foundation school
126071,10003247,Community school
126072,10015577,Community school
126073,10016858,Community school
126074,10000817,Community school
126075,10006888,Community school
126076,10000791,Community school
126077,10018414,Community school
126078,10018889,Community school
126079,10003646,Community school
126080,10002436,Community school
126081,10006579,Community school
126082,10006742,Community school
126083,10015495,Community school
126084,10016791,Community school
126085,10016812,Community school
126086,10015824,Community school
126087,10015265,Community school
126088,10003262,Community school
126089,10005610,Community school
126090,10015225,Foundation school
126091,10004352,Voluntary controlled school
126092,10006328,Voluntary controlled school
126093,10001871,Voluntary controlled school
126094,10016437,Voluntary aided school
126095,10006269,Voluntary aided school
126096,10015379,Voluntary aided school
126097,10000727,Voluntary aided school
126098,10010913,Voluntary aided school
126099,,Voluntary aided school
126100,,Voluntary aided school
126101,10006244,Voluntary aided school
126102,10005638,Voluntary aided school
126103,,Foundation school
126104,10075221,Other independent school
126105,10015561,Other independent school
126106,10015264,Other independent school
126107,10008632,Other independent school
126108,10003772,Other independent school
126109,10015420,Other independent school
126110,10017332,Other independent school
126111,10018705,Other independent school
126112,10017627,Other independent school
126113,10014931,Other independent school
126114,10018849,Other independent school
126115,10008676,Other independent school
126116,,Other independent school
126117,,Other independent school
126118,10073493,Other independent school
126119,10017457,Other independent school
126120,,Other independent school
126121,10018588,Other independent school
126122,10017290,Other independent school
126123,,Other independent school
126124,10015978,Other independent school
126125,10008334,Other independent school
126126,10008232,Other independent school
126127,,Other independent school
126128,,Other independent school
126129,,Other independent school
126130,10018805,Other independent school
126132,10017341,Other independent school
126133,10014955,Other independent school
126134,10000993,Other independent school
126135,10018789,Other independent school
126136,10016106,Other independent school
126137,10007642,Other independent school
126138,,Other independent school
126139,10015740,Other independent special school
126140,,Other independent school
126141,10017127,Other independent special school
126142,,Other independent school
126143,10015628,Other independent school
126144,10018689,Other independent school
126145,,Other independent school
126146,,Other independent school
126147,,Other independent school
126148,,Other independent school
126149,10018087,Other independent special school
126150,10015191,Other independent school
126151,10015871,Other independent school
126152,,Other independent special school
126153,,Community special school
126154,10016441,Non-maintained special school
126155,10017928,Community special school
126156,10016337,Community special school
126157,10016863,Community special school
126158,,Non-maintained special school
126159,10077057,Community special school
126160,10017222,Community special school
126161,10016755,Community special school
126162,10077056,Community special school
126163,10015395,Community special school
126164,10016499,Community special school
126165,10015309,Community special school
126166,,Non-maintained special school
126167,,Community special school
126168,10017246,Community special school
126169,10077055,Community special school
126170,10015380,Community special school
126171,10017068,Pupil referral unit
126172,10017169,Pupil referral unit
126173,10018123,Other independent special school
126174,,Community school
126175,,Community school
126176,,Community school
126177,10079759,Community school
126178,10079758,Community school
126179,,Community school
126180,,Community school
126181,,Community school
126182,10079757,Community school
126183,10073859,Community school
126184,,Community school
126185,10069181,Community school
126186,10079756,Community school
126187,,Community school
126188,10079755,Community school
126189,,Community school
126190,,Community school
126191,,Community school
126192,,Community school
126193,,Community school
126194,,Community school
126195,10079754,Community school
126196,,Community school
126197,,Community school
126198,10079753,Community school
126199,10073858,Community school
126200,10079752,Community school
126201,,Community school
126202,,Community school
126203,,Community school
126204,10079751,Community school
126205,10079750,Community school
126206,10071965,Community school
126207,10075072,Community school
126208,10071964,Community school
126209,,Community school
126210,10071963,Community school
126211,,Community school
126212,,Community school
126213,10069180,Community school
126214,,Community school
126215,,Community school
126216,,Community school
126217,,Community school
126218,,Community school
126219,,Community school
126220,,Community school
126221,,Community school
126222,,Community school
126223,,Community school
126224,,Community school
126225,,Community school
126226,,Community school
126227,,Community school
126228,10078071,Community school
126229,,Community school
126230,,Community school
126231,10079749,Community school
126232,,Community school
126233,10071962,Community school
126234,10079748,Community school
126235,10071961,Community school
126236,,Community school
126237,10071960,Community school
126238,,Community school
126239,,Community school
126240,10073857,Community school
126241,,Community school
126242,,Community school
126243,,Community school
126244,,Community school
126245,10075071,Community school
126246,,Community school
126247,,Community school
126248,10078070,Community school
126249,10079747,Community school
126250,10073068,Foundation school
126251,10079746,Community school
126252,10075070,Community school
126253,10079745,Community school
126254,10079744,Community school
126255,10069179,Community school
126256,,Community school
126257,,Community school
126258,,Foundation school
126259,10079743,Community school
126260,10079742,Community school
126261,,Community school
126262,10073067,Foundation school
126263,10079741,Community school
126264,10073856,Community school
126265,10069178,Community school
126266,,Community school
126267,,Community school
126268,,Community school
126269,10069177,Community school
126270,,Community school
126271,10079740,Community school
126272,,Community school
126273,,Foundation school
126274,,Community school
126275,,Community school
126276,,Community school
126277,,Community school
126278,,Community school
126279,,Community school
126280,,Community school
126281,10069176,Community school
126282,,Community school
126283,10079739,Community school
126284,,Community school
126285,,Community school
126286,,Community school
126287,10075869,Community school
126288,,Community school
126289,10079738,Community school
126290,,Community school
126291,10075868,Community school
126292,10069175,Community school
126293,10079737,Community school
126294,,Community school
126295,10079736,Community school
126296,10075455,Voluntary controlled school
126297,10075454,Voluntary controlled school
126298,,Voluntary controlled school
126299,,Voluntary controlled school
126300,10075453,Voluntary controlled school
126301,,Foundation school
126302,10075452,Voluntary controlled school
126303,10075451,Voluntary controlled school
126304,10075450,Voluntary controlled school
126305,10075449,Voluntary controlled school
126306,10075448,Voluntary controlled school
126307,10075447,Voluntary controlled school
126308,,Voluntary controlled school
126309,,Voluntary aided school
126310,,Voluntary controlled school
126311,,Voluntary controlled school
126312,,Voluntary controlled school
126313,10075799,Voluntary aided school
126314,10075446,Voluntary controlled school
126315,10042469,Voluntary controlled school
126316,10075445,Voluntary controlled school
126317,10075444,Voluntary controlled school
126318,10075443,Voluntary aided school
126319,10075442,Voluntary controlled school
126320,10075441,Voluntary controlled school
126321,,Voluntary controlled school
126322,,Voluntary controlled school
126323,,Voluntary controlled school
126324,10076266,Voluntary controlled school
126325,,Voluntary controlled school
126326,,Voluntary controlled school
126327,10075440,Voluntary aided school
126328,10075439,Voluntary controlled school
126329,10078094,Voluntary controlled school
126330,10076265,Voluntary controlled school
126331,,Voluntary aided school
126332,10076264,Voluntary controlled school
126333,10075438,Voluntary controlled school
126334,10075437,Voluntary controlled school
126335,10075436,Voluntary controlled school
126336,,Voluntary controlled school
126337,,Voluntary controlled school
126338,,Voluntary controlled school
126339,,Voluntary controlled school
126340,,Voluntary controlled school
126341,,Voluntary controlled school
126342,,Voluntary controlled school
126343,10069860,Voluntary controlled school
126344,10075435,Voluntary controlled school
126345,10075434,Voluntary controlled school
126346,,Voluntary controlled school
126347,,Voluntary controlled school
126348,,Voluntary controlled school
126349,10075433,Voluntary controlled school
126350,10075432,Voluntary controlled school
126351,10075431,Voluntary controlled school
126352,,Voluntary controlled school
126353,,Voluntary controlled school
126354,10075430,Voluntary controlled school
126355,,Voluntary controlled school
126356,10075429,Voluntary controlled school
126357,,Voluntary controlled school
126358,,Voluntary controlled school
126359,10075428,Voluntary controlled school
126360,10075427,Voluntary controlled school
126361,10075426,Voluntary controlled school
126362,10075425,Voluntary controlled school
126363,,Voluntary controlled school
126364,,Voluntary controlled school
126365,,Voluntary controlled school
126366,10075424,Voluntary controlled school
126367,,Voluntary controlled school
126368,10075423,Voluntary controlled school
126369,10069859,Voluntary controlled school
126370,10074290,Voluntary controlled school
126371,10075422,Voluntary controlled school
126372,10074768,Voluntary controlled school
126373,,Voluntary aided school
126374,10074767,Voluntary controlled school
126375,,Voluntary controlled school
126376,,Voluntary controlled school
126377,,Voluntary controlled school
126378,,Voluntary aided school
126379,10074766,Voluntary controlled school
126380,10076263,Voluntary controlled school
126381,,Voluntary aided school
126382,10074765,Voluntary aided school
126383,10074764,Voluntary controlled school
126384,,Voluntary controlled school
126385,,Voluntary aided school
126386,,Voluntary controlled school
126387,,Voluntary controlled school
126388,10074763,Voluntary controlled school
126389,,Voluntary aided school
126390,10074762,Voluntary controlled school
126391,,Voluntary controlled school
126392,10074761,Voluntary aided school
126393,,Voluntary aided school
126394,10074760,Voluntary aided school
126395,10076262,Voluntary aided school
126396,10074759,Voluntary aided school
126397,10074758,Voluntary aided school
126398,,Voluntary aided school
126399,,Voluntary aided school
126400,10076261,Voluntary aided school
126401,,Voluntary aided school
126402,,Voluntary aided school
126403,,Voluntary aided school
126404,10076260,Voluntary aided school
126405,10074757,Voluntary aided school
126406,,Voluntary aided school
126407,10076259,Voluntary aided school
126408,,Voluntary aided school
126409,,Voluntary aided school
126410,10076258,Voluntary aided school
126411,10074289,Voluntary aided school
126412,,Voluntary aided school
126413,10074756,Voluntary aided school
126414,,Voluntary aided school
126415,,Voluntary aided school
126416,10076257,Voluntary aided school
126417,,Voluntary aided school
126418,,Voluntary aided school
126419,10074755,Voluntary aided school
126420,10074754,Voluntary aided school
126421,10074753,Voluntary aided school
126422,,Voluntary aided school
126423,10070153,Voluntary aided school
126424,10076028,Voluntary aided school
126425,10076027,Voluntary aided school
126426,,Voluntary aided school
126427,,Voluntary aided school
126428,,Voluntary aided school
126429,10076026,Voluntary aided school
126430,10076025,Voluntary aided school
126431,10076024,Voluntary aided school
126432,,Voluntary aided school
126433,,Voluntary aided school
126434,10074752,Voluntary aided school
126435,10074751,Voluntary aided school
126436,,Voluntary aided school
126437,,Voluntary aided school
126438,10074750,Voluntary aided school
126439,10074749,Voluntary aided school
126440,10076256,Voluntary aided school
126441,,Voluntary aided school
126442,,Voluntary aided school
126443,10079614,Voluntary aided school
126444,10074748,Voluntary aided school
126445,10074747,Voluntary aided school
126446,10074746,Voluntary aided school
126447,10016050,Foundation school
126448,10006669,Community school
126449,,Community school
126450,10002010,Foundation school
126451,10006800,Foundation school
126452,10004163,Foundation school
126453,10001428,Foundation school
126454,10006645,Community school
126455,10007618,Foundation school
126456,,Community school
126457,10006637,Community school
126458,10016082,Community school
126459,10007176,Foundation school
126460,10003649,Community school
126461,10015814,Community school
126462,10006717,Community school
126463,,Community school
126464,,Community school
126465,10016058,Community school
126466,,Community school
126467,10015556,Community school
126468,10017653,Voluntary controlled school
126469,10007466,Foundation school
126470,,Voluntary controlled school
126471,,Voluntary controlled school
126472,10006285,Voluntary controlled school
126473,10017684,Voluntary aided school
126474,,Foundation school
126475,10074745,Voluntary aided school
126476,,Foundation school
126477,,Foundation school
126478,,Voluntary aided school
126479,10069606,Foundation school
126480,10069605,Foundation school
126481,10076023,Voluntary aided school
126482,10076022,Voluntary aided school
126483,10069604,Foundation school
126484,,Voluntary aided school
126485,,Voluntary aided school
126486,10074744,Voluntary aided school
126487,,Voluntary aided school
126488,,Voluntary aided school
126489,10069603,Foundation school
126490,10074743,Voluntary aided school
126491,,Foundation school
126492,10069602,Foundation school
126493,10078300,Foundation school
126494,,Voluntary aided school
126495,10006277,Voluntary aided school
126496,,Foundation school
126497,10016196,Foundation school
126498,10017279,Foundation school
126499,10005795,Foundation school
126500,10006284,Foundation school
126501,10006711,Foundation school
126502,10016350,Foundation school
126503,10015247,Foundation school
126504,10006203,Voluntary aided school
126505,10016954,Foundation school
126506,10001950,Foundation school
126507,10006011,Foundation school
126508,10000735,Voluntary aided school
126509,10002892,Foundation school
126510,10004236,Foundation school
126511,10001226,Foundation school
126512,10006351,Other independent school
126513,10006232,Other independent school
126514,10015706,Other independent school
126515,10006234,Other independent school
126516,10010048,Other independent school
126517,10015187,Other independent school
126518,10073492,Other independent school
126519,10002712,Other independent school
126520,10018477,Other independent school
126521,10018749,Other independent school
126522,10013359,Other independent school
126523,10071083,Other independent school
126524,10071082,Other independent school
126525,,Other independent school
126526,10032141,Other independent school
126527,,Other independent school
126528,10016228,Other independent school
126529,,Other independent school
126530,,Other independent school
126531,,Other independent school
126532,10008186,Other independent school
126533,10017391,Other independent school
126534,,Other independent school
126535,10018525,Other independent special school
126536,10008656,Other independent school
126537,,Other independent school
126538,,Other independent school
126539,10014943,Other independent special school
126540,,Other independent school
126541,,Other independent school
126542,10073491,Other independent special school
126543,,Other independent school
126544,,Community special school
126545,10015326,Non-maintained special school
126546,10017458,Community special school
126547,10017257,Community special school
126548,,Community special school
126549,10015414,Community special school
126550,10015312,Community special school
126551,10015011,Community special school
126552,10017635,Community special school
126553,10016286,Community special school
126554,10077054,Community special school
126555,10015984,Community special school
126556,,Community special school
126557,10017723,Community special school
126558,,Local authority nursery school
126559,,Local authority nursery school
126560,,Local authority nursery school
126561,,Community school
126562,,Local authority nursery school
126563,,Local authority nursery school
126564,,Local authority nursery school
126565,,Local authority nursery school
126566,,Local authority nursery school
126567,,Community school
126568,,Other independent school
126569,,Other independent school
126570,,Other independent school
126571,,Other independent school
126572,,Other independent school
126573,,Other independent school
126574,,Community special school
126575,,Community special school
126576,,Community special school
126577,,Community special school
126578,,Pupil referral unit
126579,,Community school
126580,,Community school
126581,,Community school
126582,,Community school
126583,,Community school
126584,,Community school
126585,,Community school
126586,,Other independent school
126587,,Community special school
126588,,Community special school
126589,,Community special school
126590,,Community special school
126591,,Community school
126592,,Community school
126593,,Community school
126594,,Community school
126595,,Community school
126596,,Community school
126597,,Community school
126598,,Community school
126599,,Community school
126600,,Community school
126601,,Community school
126602,,Community school
126603,,Community school
126604,,Community school
126605,,Community school
126606,,Voluntary aided school
126607,,Voluntary aided school
126608,,Other independent school
126609,,Other independent school
126610,,Other independent school
126611,,Other independent school
126612,,Community special school
126613,,Community special school
126614,,Pupil referral unit
126615,,Community school
126616,,Community school
126617,,Community school
126618,,Community school
126619,,Community school
126620,10080495,Other independent school
126621,,Voluntary aided school
126622,,Voluntary aided school
126623,,Voluntary aided school
126624,,Other independent school
126625,,Other independent school
126626,,Other independent school
126627,,Community special school
126628,,Community special school
126629,,Community special school
126630,,Community special school
126631,,Community special school
126632,,Community special school
126633,,Community school
126634,,Community school
126635,,Other independent school
126636,,Other independent school
126637,,Community special school
126638,,Miscellaneous
126639,,Voluntary aided school
126640,,Voluntary aided school
126641,,Voluntary aided school
126643,,Other independent school
126644,,Other independent school
126645,,Other independent school
126646,,Other independent school
126647,,Other independent school
126648,,Other independent school
126649,,Community special school
126650,,Voluntary aided school
126651,,Voluntary aided school
