URN,UKPRN,TypeOfEstablishment (name)
100417,,Community school
100418,10043227,Community school
100419,,Community school
100420,,Community school
100421,,Community school
100422,10069170,Community school
100423,,Community school
100424,,Community school
100425,10078000,Community school
100426,10074676,Community school
100427,,Community school
100428,10069169,Community school
100429,10074675,Community school
100430,10074674,Community school
100431,10070045,Community school
100432,10074673,Community school
100433,,Community school
100434,10074672,Community school
100435,,Community school
100436,,Voluntary aided school
100437,10075995,Voluntary aided school
100438,10075994,Voluntary aided school
100439,10079300,Voluntary aided school
100440,10074287,Voluntary aided school
100441,10075993,Voluntary aided school
100442,10074735,Voluntary aided school
100443,10079299,Voluntary aided school
100444,10076253,Voluntary aided school
100445,,Voluntary aided school
100446,10074734,Voluntary aided school
100447,10075992,Voluntary aided school
100448,10074733,Voluntary aided school
100449,10075991,Voluntary aided school
100450,10070152,Voluntary aided school
100451,10075990,Voluntary aided school
100452,10003068,Community school
100453,10014213,Community school
100454,10016065,Community school
100455,10003067,Community school
100456,,Community school
100457,10015261,Community school
100458,10001257,Voluntary aided school
100459,10015262,Voluntary aided school
100460,10013630,Voluntary aided school
100461,10003425,Other independent school
100462,10079111,Other independent school
100463,10079110,Other independent school
100464,,Other independent school
100465,,Other independent school
100466,,Other independent school
100467,10015931,Community special school
100468,,Community special school
100469,10016381,Community special school
100470,,Community special school
100471,,Community special school
100472,10055133,Local authority nursery school
100473,10054143,Local authority nursery school
100474,,Local authority nursery school
100475,,Local authority nursery school
100476,10016786,Pupil referral unit
100477,10074671,Community school
100478,10072926,Community school
100479,10074670,Community school
100480,10074669,Community school
100481,10070044,Community school
100482,10079730,Community school
100483,10072925,Community school
100484,,Community school
100485,10074668,Community school
100486,10074667,Community school
100487,10074666,Community school
100488,10074665,Community school
100489,10074732,Voluntary aided school
100490,10079298,Voluntary aided school
100491,10075989,Voluntary aided school
100492,10079297,Voluntary aided school
100493,10076252,Voluntary aided school
100494,10075988,Voluntary aided school
100495,10079296,Voluntary aided school
100496,10075987,Voluntary aided school
100497,10076251,Voluntary aided school
100498,10079295,Voluntary aided school
100499,10075986,Voluntary aided school
100500,10075985,Voluntary aided school
100501,10003120,Community school
100502,10017544,Voluntary aided school
100503,10017353,Voluntary aided school
100504,10075984,Voluntary aided school
100505,10037956,Voluntary aided school
100506,10000002,Voluntary aided school
100507,10075190,Other independent school
100508,10075162,Other independent school
100509,10075161,Other independent school
100510,10072290,Other independent school
100511,10008448,Other independent school
100512,,Other independent school
100513,10077631,Other independent school
100514,10018529,Other independent school
100515,,Other independent school
100516,10018885,Other independent school
100517,,Other independent school
100518,10018546,Other independent school
100519,10070516,Other independent school
100520,10079907,Other independent school
100521,10008388,Other independent school
100522,10077630,Other independent school
100523,10070515,Other independent school
100524,10079906,Other independent school
100526,10010591,Other independent school
100527,10008681,Other independent school
100528,10017682,Other independent school
100529,10009020,Other independent school
100530,10080809,Other independent school
100531,10075160,Other independent school
100532,10015997,Other independent school
100533,10016190,Other independent school
100534,10079905,Other independent school
100535,,Other independent school
100536,10009083,Other independent school
100537,10008898,Other independent school
100538,10072289,Other independent school
100539,10015231,Other independent school
100540,10043846,Other independent school
100541,10017956,Other independent school
100542,10017778,Other independent school
